Designator,Mid X,Mid Y,Rotation,Layer
BRD1,217.708973,-141.271273,180.0,top
C1,110.7322,-45.592756,285.0,bottom
C10,143.589559,-70.17446,285.0,bottom
C11,137.432332,-88.246662,285.0,bottom
C12,133.72856,-106.976246,285.0,bottom
C13,167.249657,-55.477358,285.0,bottom
C14,162.319155,-73.878248,285.0,bottom
C15,157.388643,-92.279129,285.0,bottom
C16,152.458137,-110.680018,285.0,bottom
C17,184.500093,-64.701402,285.0,bottom
C18,179.569593,-83.102294,285.0,bottom
C19,173.412358,-101.174471,285.0,bottom
C2,105.801688,-63.99364,285.0,bottom
C20,169.708583,-119.904059,285.0,bottom
C21,202.900972,-69.6319,285.0,bottom
C22,197.970479,-88.032797,285.0,bottom
C23,193.039968,-106.433678,285.0,bottom
C24,188.109469,-124.834559,285.0,bottom
C25,242.584776,-67.0023,255.0,bottom
C26,247.51528,-85.403193,255.0,bottom
C27,251.21906,-104.132773,255.0,bottom
C28,257.376283,-122.204973,255.0,bottom
C29,260.98567,-62.071793,255.0,bottom
C3,100.257818,-82.230175,285.0,bottom
C30,265.916171,-80.472684,255.0,bottom
C31,270.846674,-98.873572,255.0,bottom
C32,275.777173,-117.274467,255.0,bottom
C33,278.236102,-52.847751,255.0,bottom
C34,283.166606,-71.248641,255.0,bottom
C35,286.870373,-89.978226,255.0,bottom
C36,293.027613,-108.050418,255.0,bottom
C37,297.272449,-48.881861,255.0,bottom
C38,301.896194,-67.544866,255.0,bottom
C39,306.826689,-85.945751,255.0,bottom
C4,95.940685,-100.795423,285.0,bottom
C40,311.757204,-104.346637,255.0,bottom
C41,315.695273,-45.440201,255.0,bottom
C42,320.625779,-63.841091,255.0,bottom
C43,324.06793,-82.640774,255.0,bottom
C44,330.486791,-100.642858,255.0,bottom
C45,334.753558,-42.963149,255.0,bottom
C46,339.684063,-61.364031,255.0,bottom
C47,344.614568,-79.764921,255.0,bottom
C48,349.545075,-98.165812,255.0,bottom
C49,137.176747,-130.909193,285.0,bottom
C5,129.790465,-48.069805,285.0,bottom
C50,155.577632,-135.839698,285.0,bottom
C51,175.64677,-144.162584,295.0,bottom
C52,197.892476,-158.418165,305.0,bottom
C53,246.102059,-152.590626,235.0,bottom
C54,269.233263,-139.868772,245.0,bottom
C55,290.259865,-133.115847,255.0,bottom
C56,308.309014,-128.279591,255.0,bottom
C57,204.372419,-77.38906,285.0,bottom
C58,199.424296,-96.837068,285.0,bottom
C59,194.756752,-114.256576,285.0,bottom
C6,124.859984,-66.470691,285.0,bottom
C60,189.530419,-133.76151,285.0,bottom
C61,180.597579,-158.223325,125.0,bottom
C62,246.273007,-134.252201,75.0,bottom
C63,241.605463,-116.832696,75.0,bottom
C64,236.411999,-97.450427,75.0,bottom
C65,231.810199,-80.276265,75.0,bottom
C66,109.306352,-68.088234,195.0,bottom
C67,146.929873,-74.882426,195.0,bottom
C68,182.745543,-88.42361,195.0,bottom
C69,252.959268,-88.546269,165.0,bottom
C7,119.92948,-84.871584,285.0,bottom
C70,288.774947,-75.005093,165.0,bottom
C71,326.3656,-68.088234,165.0,bottom
C72,217.835977,-155.436281,180.0,bottom
C73,226.725977,-105.77928,180.0,bottom
C74,208.945973,-106.287274,180.0,bottom
C8,114.998975,-103.272472,285.0,bottom
C9,148.520066,-51.773581,285.0,bottom
D1,195.791776,-76.536159,15.0,bottom
D10,136.480373,-77.078729,15.0,bottom
D11,117.750783,-73.374957,15.0,bottom
D12,98.692494,-70.897895,15.0,bottom
D13,185.930769,-113.337942,15.0,bottom
D14,167.529894,-108.407428,15.0,bottom
D15,150.279455,-99.183396,15.0,bottom
D16,131.549861,-95.479623,15.0,bottom
D17,112.820286,-91.775839,15.0,bottom
D18,93.761995,-89.29879,15.0,bottom
D19,181.00027,-131.738833,15.0,bottom
D2,177.3909,-71.605666,15.0,bottom
D20,162.599388,-126.808317,15.0,bottom
D21,145.348944,-117.584279,15.0,bottom
D22,126.619361,-113.880509,15.0,bottom
D23,107.889776,-110.176728,15.0,bottom
D24,88.831489,-107.699674,15.0,bottom
D25,130.06756,-137.813463,15.0,bottom
D26,148.468428,-142.743967,15.0,bottom
D27,167.44667,-149.727459,25.0,bottom
D28,188.797958,-162.385273,35.0,bottom
D29,246.821323,-162.474551,325.0,bottom
D3,160.140457,-62.381629,15.0,bottom
D30,268.225277,-149.727453,335.0,bottom
D31,287.191408,-142.698767,345.0,bottom
D32,305.604393,-137.813454,345.0,bottom
D33,254.67167,-131.738827,345.0,bottom
D34,273.072563,-126.808324,345.0,bottom
D35,290.322998,-117.584274,345.0,bottom
D36,309.052583,-113.880499,345.0,bottom
D37,327.782173,-110.176727,345.0,bottom
D38,346.84046,-107.699663,345.0,bottom
D39,249.741172,-113.337935,345.0,bottom
D4,141.410871,-58.67785,15.0,bottom
D40,268.142057,-108.407442,345.0,bottom
D41,285.392498,-99.183386,345.0,bottom
D42,304.12208,-95.479618,345.0,bottom
D43,322.851667,-91.775846,345.0,bottom
D44,341.909957,-89.298783,345.0,bottom
D45,244.810671,-94.937054,345.0,bottom
D46,263.211554,-90.006556,345.0,bottom
D47,280.461997,-80.7825,345.0,bottom
D48,299.191576,-77.078734,345.0,bottom
D49,317.921163,-73.374951,345.0,bottom
D5,122.681285,-54.974061,15.0,bottom
D50,336.979453,-70.897901,345.0,bottom
D51,239.880163,-76.536159,345.0,bottom
D52,258.281049,-71.605664,345.0,bottom
D53,275.531494,-62.381613,345.0,bottom
D54,294.26108,-58.677843,345.0,bottom
D55,312.990655,-54.974065,345.0,bottom
D56,332.048949,-52.497009,345.0,bottom
D6,103.623002,-52.497009,15.0,bottom
D7,190.86128,-94.937055,15.0,bottom
D8,172.460397,-90.006552,15.0,bottom
D9,155.209962,-80.782503,15.0,bottom
S1,104.839183,-47.958128,345.0,top
S10,137.696562,-72.539842,345.0,top
S11,132.766051,-90.940727,345.0,top
S12,127.835556,-109.341626,345.0,top
S13,161.357881,-57.838118,345.0,top
S14,156.427382,-76.239013,345.0,top
S15,151.496878,-94.639899,345.0,top
S16,146.566377,-113.040778,345.0,top
S17,178.607077,-67.066786,345.0,top
S18,173.676589,-85.467669,345.0,top
S19,168.746086,-103.868554,345.0,top
S2,99.908689,-66.359016,345.0,top
S20,163.81557,-122.269437,345.0,top
S21,197.007985,-71.997278,345.0,top
S22,192.077476,-90.39816,345.0,top
S23,187.146962,-108.799049,345.0,top
S24,182.216459,-127.199949,345.0,top
S25,238.663971,-71.997278,15.0,top
S26,243.594477,-90.398163,15.0,top
S27,248.524975,-108.799051,15.0,top
S28,253.455478,-127.199944,15.0,top
S29,257.064865,-67.066775,15.0,top
S3,94.978174,-84.759905,345.0,top
S30,261.995367,-85.467662,15.0,top
S31,266.925874,-103.868553,15.0,top
S32,271.856379,-122.26943,15.0,top
S33,274.315304,-57.842731,15.0,top
S34,279.245804,-76.243622,15.0,top
S35,284.176314,-94.644506,15.0,top
S36,289.106816,-113.045392,15.0,top
S37,293.044885,-54.138959,15.0,top
S38,297.975393,-72.539838,15.0,top
S39,302.905899,-90.940723,15.0,top
S4,90.047675,-103.160795,345.0,top
S40,307.836394,-109.341616,15.0,top
S41,311.774467,-50.435177,15.0,top
S42,316.704976,-68.836066,15.0,top
S43,321.635478,-87.236959,15.0,top
S44,326.565981,-105.637837,15.0,top
S45,330.832761,-47.958133,15.0,top
S46,335.763271,-66.359016,15.0,top
S47,340.693764,-84.759895,15.0,top
S48,345.624272,-103.160791,15.0,top
S49,131.283747,-133.274574,345.0,top
S5,123.897469,-50.435184,345.0,top
S50,149.684624,-138.205077,345.0,top
S51,169.432558,-145.468713,335.0,top
S52,191.545859,-158.625364,325.0,top
S53,244.126088,-158.625361,35.0,top
S54,266.239389,-145.468707,25.0,top
S55,285.987314,-138.205074,15.0,top
S56,304.388204,-133.274567,15.0,top
S6,118.966966,-68.836067,345.0,top
S7,114.036465,-87.236958,345.0,top
S8,109.105962,-105.637833,345.0,top
S9,142.627063,-54.138956,345.0,top
SW1,217.962971,-133.592279,0.0,bottom
U1,217.835971,-80.506275,270.0,top
U10,226.725976,-114.796276,270.0,bottom
U2,106.97257,-76.797982,285.0,bottom
U3,144.628973,-83.469509,285.0,bottom
U4,180.41178,-97.133363,285.0,bottom
U5,255.260165,-97.133356,255.0,bottom
U6,291.075842,-83.592175,255.0,bottom
U7,328.69937,-76.797985,255.0,bottom
U8,217.835973,-164.961268,270.0,bottom
U9,208.94598,-114.796274,270.0,bottom
